trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,mult_Prosody,mult_Vocal_Tract,mult_Timbre,mult_Voice_Quality,mult_Scene
10,0.9282258374691008,-0.05980199184268713,2.158945848941803,0.742277706861496,-0.05980199184268713,2.158945848941803,-0.3014032024666667,2.8984480071067806,0.9621956143659743,0.4907583511141041,,False,0.9663961553573608,-0.13503613248467444,2.338801050186157,0.9897398502331117,0.9814462828636169,-0.0727477391064167,2.179720301628113,0.9781266960347876,0.742277706861496,-1.1109916281700134,5.194325351715088,0.8612618016595788,0.9844574999809265,-0.05980199184268713,2.158945848941803,0.9853170537641823,0.9665515422821045,-0.1284385207295418,2.620447483062744,0.9965326701382112,1.6833183036366712,1.4218219318027434,0.544904689037049,2.014679308582511,2.225617683922863
11,0.9437764053344726,-0.06275050513446331,3.054093461036682,0.9077308881282806,-0.06275050513446331,3.054093461036682,-0.22147242444008586,3.834991485595703,0.9813716700546015,0.43893556267976425,,False,0.9363478767871857,-0.26363122746348383,3.8977031183242796,0.9832042792348568,0.9827520978450776,-0.06572543192654848,3.054093461036682,0.9856020395810515,0.9077308881282806,-0.3640416306257248,4.513737411499023,0.9879791526174599,0.9835898363590241,-0.06275050513446331,3.055758399963379,0.9623582327619958,0.9084613275527954,-0.351213327050209,4.653665037155151,0.9877146460776443,1.481132230256581,1.6665189465205594,1.1914749910988909,1.4577103514615026,1.5180626749512423
12,0.9803342778682709,-0.009168890900909901,1.8105781960487366,0.9544679069519043,-0.009168890900909901,1.8105781960487366,-0.07561777636036277,2.439683985710144,0.9851564542929563,0.46719348793221566,,False,0.9976543974876404,-0.009338314477354288,1.8186404728889465,0.9871016281406382,0.9976938378810882,-0.009168890900909901,1.8105781960487366,0.9858373981962494,0.9547169661521911,-0.17456964105367662,3.3429420375823975,0.9902752968947784,0.9971382808685303,-0.011334676146507263,1.8756122255325318,0.9679867780297085,0.9544679069519043,-0.17367735922336577,3.350646996498108,0.9945811702034071,1.5858906793910281,1.6817850166448718,1.3109426148289316,1.5291294517457703,1.9792090898251495
13,0.963337022304535,-0.039366890881210564,2.3839031505584716,0.9103856766223908,-0.039366890881210564,2.3839031505584716,-0.14372717009112237,2.9708934431076046,0.9840871199911302,0.4190480763977917,,False,0.9864236032962799,-0.054650712590664625,2.409579257965088,0.9950266111674974,0.989826203584671,-0.03963298572227359,2.3839031505584716,0.9784928911507549,0.9401777505874633,-0.2376505845785141,3.572074089050293,0.9905812891050821,0.9898718774318696,-0.039366890881210564,2.4010692501068114,0.9748446058860876,0.9103856766223908,-0.34733467668294904,4.087841467857361,0.9814902026462294,2.114641101758103,1.453374522643851,1.2943608817818242,1.6717630472196054,1.3456515894881724
14,0.9247300930023192,-0.03624437049031257,2.16600291967392,0.7593077528476715,-0.03624437049031257,2.16600291967392,-0.3329070186875761,3.402381320476532,0.9570998983623856,0.40420808519963,,False,0.9154760861396789,-0.3500474560260773,3.5129553699493408,0.9756349685617924,0.9737446963787079,-0.10536754973232747,2.6739770698547365,0.9487789079901917,0.7593077528476715,-1.112711569070816,6.263452186584472,0.8727446142480594,0.9907368111610413,-0.03624437049031257,2.16600291967392,0.99185389076248,0.9843851184844971,-0.06016414811834693,2.3955190563201905,0.9964871102494043,1.3268572104624103,1.020240280986462,0.5718965350477705,2.438146618283592,2.213397898770042
15,0.9046265623569488,-0.036106249466538426,2.176562740802765,0.7515835869312286,-0.036106249466538426,2.176562740802765,-0.43521515731513505,3.723367218017578,0.9390682779395678,0.3869948917618009,,False,0.7515835869312286,-1.2618214857578278,5.97968204498291,0.8125368413897648,0.9904138219356536,-0.036106249466538426,2.176562740802765,0.9965595714882078,0.9107556676864624,-0.35479252129793165,3.774971351623535,0.9866269080482892,0.9905330908298492,-0.03650811806321144,2.181935203075409,0.9395632747489632,0.8798466444015502,-0.48684741199016573,4.503684749603272,0.9600547940226134,0.5362696584446922,2.536959297512244,1.193015744459285,1.1802504951606483,1.0599343147617124
16,0.9824355764389037,-0.003978527272120118,1.5561216139793397,0.9459875857830048,-0.003978527272120118,1.5561216139793397,-0.06781533538363874,2.081537668704987,0.9904975857858999,0.4454931977060132,,False,0.9989792764186859,-0.004075259556993842,1.5561216139793397,0.993685143711417,0.9989659309387207,-0.004084286270663142,1.560308771133423,0.9859361715195755,0.9692483210563659,-0.11923544615507126,2.6766019535064696,0.9949800384786565,0.9989967679977417,-0.003978527272120118,1.556891589164734,0.9870303638473295,0.9459875857830048,-0.20770315766334535,3.0577644157409667,0.9908562113725217,1.9477118507590934,1.643362466814457,1.5400786672934945,2.077710858847413,1.6694540828182391
17,0.9576220576763153,-0.03220506390556693,2.3707014656066896,0.8864556527137757,-0.03220506390556693,2.3707014656066896,-0.17365305533260103,3.2232288537025453,0.9720597667174041,0.36491447897460483,,False,0.9906626307964325,-0.037789066322147846,2.4937859773635864,0.9750408646654235,0.9918988287448883,-0.03220506390556693,2.3707014656066896,0.9714559588156174,0.8864556527137757,-0.47473981976509094,4.927791242599487,0.9622072841241855,0.9907079589366913,-0.036741733569651845,2.482296884059906,0.9649926246288858,0.9283852171897888,-0.2867895931005478,3.841568698883057,0.9866021013529084,1.2898188188308897,1.3021254465495427,0.8746351841761814,1.4883266978717995,1.5251564574775154
18,0.97026864027977,-0.02035993555560708,1.8267466878890992,0.8947961604595185,-0.02035993555560708,1.8267466878890992,-0.11705763129889965,2.423777458190918,0.963375252028969,0.43739542761265626,,False,0.9948011648654937,-0.02035993555560708,1.8267466878890992,0.9951380513967045,0.9946781706809997,-0.021089560352265835,1.8320671319961548,0.9292354098302822,0.8947961604595185,-0.4166393610835075,4.114274544715881,0.9754438923262676,0.9933976030349732,-0.026340245101600886,1.8934234762191773,0.9212286938406709,0.9736701023578643,-0.10085905440151692,2.4523754501342774,0.9958302127509208,2.101069646191561,0.9042165270980985,1.0024334322745996,1.0532591884968354,2.0846671749857646
19,0.9509851939678191,-0.0817489168420434,2.343967840671539,0.8656263315677643,-0.0817489168420434,2.343967840671539,-0.18781485968083145,2.8920946516990664,0.946260478274479,0.4908794051690766,,False,0.9708402585983277,-0.11672693260014057,2.355644233226776,0.9856864311438933,0.97592564702034,-0.0961787910759449,2.3670381236076357,0.7979845541524709,0.9646159565448761,-0.13574553221464158,2.9983074855804444,0.9952364679382002,0.9779177761077881,-0.0817489168420434,2.343967840671539,0.990417887630489,0.8656263315677643,-0.5086741256713867,4.395515575408935,0.9619770505073418,1.5342369562212745,0.5084141889295717,1.5816345811786443,2.3036749784136203,1.0491215697714007
